tanggal,komoditas_normalisasi,commodity,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi
1/1/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72255.32,65000,80000
1/2/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75848.21,70000,80000
1/3/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,76482.46,70000,80000
1/4/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,76075.47,70000,80000
1/5/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75627.27,70000,80000
1/6/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75113.64,70000,80000
1/7/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75113.64,70000,80000
1/8/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,88700,70000,118900
1/9/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74868.42,70000,80000
1/10/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74669.81,70000,80000
1/11/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74364.41,70000,80000
1/12/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,73333.33,67500,80000
1/13/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,71666.67,65000,80000
1/14/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,70581.4,60000,80000
1/15/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,69913.79,65000,75000
1/16/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72884.62,67500,80000
1/17/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,71562.5,65000,80000
1/18/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,71517.54,65000,80000
1/19/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,68868.42,62500,75000
1/20/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,65975,60000,70000
1/21/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,66166.67,60000,70000
1/22/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,68245.45,65000,70000
1/23/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,69698.28,64000,75000
1/24/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72198.28,65000,80000
1/25/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74429.82,70000,80000
1/26/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,73771.19,67500,80000
1/27/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74418.6,70000,80000
1/28/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74390.24,70000,80000
1/29/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72232.14,65000,80000
1/30/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,71885.96,65000,80000
1/31/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,70181.82,65000,75000
2/1/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,66666.67,60000,70000
2/2/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,69622.81,65000,75000
2/3/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,70000,65000,75000
2/4/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,69666.67,65000,75000
2/5/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72718.18,67500,80000
2/6/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,72758.93,65000,80000
2/7/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74684.21,70000,80000
2/8/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,81461.54,70000,98000
2/9/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75132.08,70000,80000
2/10/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,75128.21,70000,80000
2/11/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74487.18,70000,80000
2/12/2024,Cabai Merah Keriting,Curly Chilies,Jabodetabek,74905.66,70000,80000
