Date,hari,bulan,tahun,komoditas,commodity,tipe_pasar,market_type,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi,jumlah_pasar,jumlah_sumber_data
2024-01-01,1,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11383.33,6000,15000,30,1
2024-01-02,2,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11287.88,6000,15000,33,1
2024-01-03,3,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11303.03,6000,15000,33,1
2024-01-04,4,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11290.32,6000,15000,31,1
2024-01-05,5,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11345.16,6000,15000,31,1
2024-01-06,6,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11373.53,6000,15000,34,1
2024-01-07,7,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11393.94,6000,15000,33,1
2024-01-09,9,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11424.24,6000,15000,33,1
2024-01-10,10,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11281.25,6000,15000,32,1
2024-01-11,11,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11428.57,6000,15000,35,1
2024-01-12,12,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,8000,15000,34,1
2024-01-13,13,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11400,6000,15000,35,1
2024-01-14,14,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11323.53,6000,15000,34,1
2024-01-15,15,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11571.43,6000,15000,35,1
2024-01-16,16,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11437.5,6000,15000,32,1
2024-01-17,17,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,6000,15000,32,1
2024-01-18,18,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11382.35,5000,15000,34,1
2024-01-19,19,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11242.42,6000,14000,33,1
2024-01-20,20,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,6000,15000,32,1
2024-01-21,21,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,6000,15000,34,1
2024-01-22,22,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.85,6000,15000,33,1
2024-01-23,23,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11705.88,8000,15000,34,1
2024-01-24,24,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11514.29,6000,15000,35,1
2024-01-25,25,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,6000,15000,34,1
2024-01-26,26,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11557.14,6000,15000,35,1
2024-01-27,27,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11557.14,6000,15000,35,1
2024-01-28,28,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11469.7,6000,15000,33,1
2024-01-29,29,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11621.21,6000,15000,33,1
2024-01-30,30,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11397.06,6000,15000,34,1
2024-01-31,31,1,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11781.25,8000,15000,32,1
2024-02-01,1,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11515.15,6000,15000,33,1
2024-02-02,2,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.85,6000,15000,33,1
2024-02-03,3,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11602.94,6000,15000,34,1
2024-02-04,4,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11573.53,6000,15000,34,1
2024-02-05,5,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11676.47,6000,15000,34,1
2024-02-06,6,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11529.41,6000,15000,34,1
2024-02-07,7,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11514.71,6000,15000,34,1
2024-02-09,9,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11544.12,6000,15000,34,1
2024-02-10,10,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,14000,31,1
2024-02-11,11,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11466.67,6000,14000,30,1
2024-02-12,12,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-02-13,13,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11640.63,6500,15000,32,1
2024-02-14,14,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11403.85,6500,14000,26,1
2024-02-15,15,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11718.75,7000,15000,32,1
2024-02-16,16,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11696.97,7000,14000,33,1
2024-02-17,17,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11703.12,7500,14000,32,1
2024-02-18,18,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.38,7500,14000,32,1
2024-02-19,19,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11590.91,7000,14000,33,1
2024-02-20,20,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11632.35,7000,14000,34,1
2024-02-21,21,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11573.53,7000,14000,34,1
2024-02-22,22,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11515.62,7000,14000,32,1
2024-02-23,23,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11590.91,7000,14000,33,1
2024-02-24,24,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11296.97,1300,14000,33,1
2024-02-25,25,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11564.52,7000,14000,31,1
2024-02-26,26,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11484.38,7000,14000,32,1
2024-02-27,27,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-02-28,28,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-02-29,29,2,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11359.38,7000,14000,32,1
2024-03-01,1,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,7000,14000,30,1
2024-03-02,2,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,7000,15000,31,1
2024-03-03,3,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11403.23,7000,14000,31,1
2024-03-04,4,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11543.48,7500,14000,23,1
2024-03-05,5,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11468.75,7500,14000,32,1
2024-03-06,6,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11546.87,7000,14000,32,1
2024-03-07,7,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.13,7000,14000,32,1
2024-03-09,9,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11580.65,7500,14000,31,1
2024-03-10,10,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11448.28,7500,14000,29,1
2024-03-11,11,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11566.67,7500,14000,30,1
2024-03-12,12,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12241.94,8000,30000,31,1
2024-03-13,13,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.12,8000,14000,32,1
2024-03-14,14,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11625,7500,14000,32,1
2024-03-15,15,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11545.45,7500,14000,33,1
2024-03-16,16,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11593.75,7500,14000,32,1
2024-03-17,17,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11593.75,7500,14000,32,1
2024-03-18,18,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11558.82,7500,14000,34,1
2024-03-19,19,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11533.33,7500,14000,30,1
2024-03-20,20,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11533.33,7500,14000,30,1
2024-03-21,21,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11439.39,7000,14000,33,1
2024-03-22,22,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11409.09,7000,14000,33,1
2024-03-23,23,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11603.45,7000,14000,29,1
2024-03-24,24,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11661.29,7000,14000,31,1
2024-03-25,25,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11609.37,8000,14000,32,1
2024-03-26,26,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11641.94,7400,14000,31,1
2024-03-27,27,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11666.67,7500,14000,30,1
2024-03-28,28,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11689.66,7500,14000,29,1
2024-03-29,29,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11718.75,8000,14000,32,1
2024-03-30,30,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11620.69,7000,14000,29,1
2024-03-31,31,3,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11677.42,8000,14000,31,1
2024-04-01,1,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11783.33,7500,14000,30,1
2024-04-02,2,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11578.13,7500,15000,32,1
2024-04-03,3,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11909.09,8000,14000,22,1
2024-04-04,4,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500,6000,15000,30,1
2024-04-05,5,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,15000,31,1
2024-04-06,6,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-04-07,7,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,15000,31,1
2024-04-12,12,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-04-13,13,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11516.13,6000,15000,31,1
2024-04-14,14,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11531.25,6000,15000,32,1
2024-04-15,15,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12000,8000,19000,30,1
2024-04-16,16,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11766.67,8000,15000,30,1
2024-04-17,17,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12166.67,10000,14000,12,1
2024-04-18,18,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11606.06,6000,15000,33,1
2024-04-19,19,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11562.5,6000,14000,32,1
2024-04-20,20,4,2024,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11483.87,6000,14000,31,1
