tanggal,komoditas_normalisasi,commodity,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi
2024-01-01,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-02,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-03,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-04,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-05,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-08,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-09,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-10,Bawang Merah,Shallot,Bandung,35000,35000,35000
2024-01-11,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-12,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-15,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-16,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-17,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-18,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-19,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-22,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-23,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-24,Bawang Merah,Shallot,Bandung,41666.67,35000,45000
2024-01-25,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-01-26,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-01-29,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-01-30,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-01-31,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-01,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-02,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-05,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-06,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-07,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-08,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-09,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-02-12,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-13,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-14,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-15,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-16,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-19,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-20,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-21,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-22,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-23,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-26,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-27,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-28,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-02-29,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-01,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-04,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-05,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-06,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-07,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-08,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-11,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-12,Bawang Merah,Shallot,Bandung,38333.33,35000,40000
2024-03-13,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-03-14,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-03-15,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-03-18,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-03-19,Bawang Merah,Shallot,Bandung,40000,35000,42500
2024-03-20,Bawang Merah,Shallot,Bandung,41666.67,40000,42500
2024-03-21,Bawang Merah,Shallot,Bandung,41666.67,40000,42500
2024-03-22,Bawang Merah,Shallot,Bandung,41666.67,40000,42500
2024-03-25,Bawang Merah,Shallot,Bandung,43000,40000,44500
2024-03-26,Bawang Merah,Shallot,Bandung,43000,40000,44500
2024-03-27,Bawang Merah,Shallot,Bandung,43000,40000,44500
2024-03-28,Bawang Merah,Shallot,Bandung,43000,40000,44500
2024-03-29,Bawang Merah,Shallot,Bandung,43000,40000,44500
2024-04-01,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-02,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-03,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-04,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-05,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-08,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-09,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
2024-04-10,Bawang Merah,Shallot,Bandung,43333.33,40000,45000
