date,hari,bulan,tahun,komoditas,komoditas_normalisasi,commodity,tipe_pasar,market_type,kategori_kota,harga_rata_rata,harga_terendah,harga_tertinggi,jumlah_pasar,jumlah_sumber_data
2024-03-12,12,3,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12241.94,8000,30000,31,1
2024-04-15,15,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12000.0,8000,19000,30,1
2024-06-20,20,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,13500.0,9000,40000,17,1
2024-01-20,20,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,6000,15000,32,1
2024-07-04,4,7,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11950.0,8000,15000,20,1
2024-01-04,4,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11290.32,6000,15000,31,1
2024-06-16,16,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12166.67,9000,15000,18,1
2024-05-20,20,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11520.0,6000,15000,25,1
2024-05-31,31,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11260.87,6000,15000,23,1
2024-06-25,25,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12050.0,9000,15000,20,1
2024-07-03,3,7,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11789.47,8000,15000,19,1
2024-05-29,29,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11285.71,6000,15000,21,1
2024-01-05,5,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11345.16,6000,15000,31,1
2024-05-13,13,5,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11615.38,8000,15000,26,1
2024-01-17,17,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11500.0,6000,15000,32,1
2024-02-07,7,2,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11514.71,6000,15000,34,1
2024-06-07,7,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11666.67,8000,15000,24,1
2024-06-09,9,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11269.23,6000,15000,26,1
2024-07-05,5,7,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11736.84,9000,15000,19,1
2024-01-18,18,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11382.35,5000,15000,34,1
2024-01-26,26,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11557.14,6000,15000,35,1
2024-04-07,7,4,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11709.68,8000,15000,31,1
2024-06-22,22,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,12055.56,9000,15000,18,1
2024-01-07,7,1,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11393.94,6000,15000,33,1
2024-06-18,18,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11928.57,9000,15000,14,1
2024-06-21,21,6,2024,Semangka,Semangka,Watermelon,Pasar Induk,Central Market,Jabodetabek,11921.05,9000,15000,19,1
